PlotID,Latitude,Longitude,Site,UnitID,geometry
40,40.61926666666667,-121.7332,LaTour,40,POINT (-121.7332 40.61926666666667)
41,40.61553333333333,-121.733,LaTour,41,POINT (-121.733 40.61553333333333)
42,40.6119,-121.73303333333334,LaTour,42,POINT (-121.73303333333334 40.6119)
13,40.61558333333333,-121.7424,LaTour,13,POINT (-121.7424 40.61558333333333)
20,40.61593333333333,-121.73781666666666,LaTour,20,POINT (-121.73781666666666 40.61593333333333)
43,40.607816666666665,-121.73261666666669,LaTour,43,POINT (-121.73261666666669 40.607816666666665)
44,40.6044,-121.73311666666666,LaTour,44,POINT (-121.73311666666666 40.6044)
45,40.6044,-121.72848333333332,LaTour,45,POINT (-121.72848333333332 40.6044)
46,40.608,-121.72828333333334,LaTour,46,POINT (-121.72828333333334 40.608)
47,40.6117,-121.72821666666668,LaTour,47,POINT (-121.72821666666668 40.6117)
48,40.61536666666667,-121.72806666666666,LaTour,48,POINT (-121.72806666666666 40.61536666666667)
49,40.6186,-121.72808333333332,LaTour,49,POINT (-121.72808333333332 40.6186)
50,40.629533333333335,-121.72851666666666,LaTour,50,POINT (-121.72851666666666 40.629533333333335)
51,40.63315,-121.72893333333332,LaTour,51,POINT (-121.72893333333332 40.63315)
52,40.63701666666667,-121.72823333333334,LaTour,52,POINT (-121.72823333333334 40.63701666666667)
53,40.64031666666666,-121.72835,LaTour,53,POINT (-121.72835 40.64031666666666)
54,40.64363333333333,-121.72793333333334,LaTour,54,POINT (-121.72793333333334 40.64363333333333)
55,40.6473,-121.72803333333331,LaTour,55,POINT (-121.72803333333331 40.6473)
56,40.65753333333333,-121.72773333333332,LaTour,56,POINT (-121.72773333333332 40.65753333333333)
57,40.65756666666667,-121.72298333333332,LaTour,57,POINT (-121.72298333333332 40.65756666666667)
58,40.6543,-121.72326666666666,LaTour,58,POINT (-121.72326666666666 40.6543)
59,40.64731666666667,-121.72348333333332,LaTour,59,POINT (-121.72348333333332 40.64731666666667)
60,40.64335,-121.72286666666666,LaTour,60,POINT (-121.72286666666666 40.64335)
61,40.64005,-121.72306666666668,LaTour,61,POINT (-121.72306666666668 40.64005)
62,40.63676666666667,-121.72373333333331,LaTour,62,POINT (-121.72373333333331 40.63676666666667)
63,40.63301666666667,-121.7239,LaTour,63,POINT (-121.7239 40.63301666666667)
64,40.62945,-121.72401666666669,LaTour,64,POINT (-121.72401666666669 40.62945)
65,40.6187,-121.72343333333332,LaTour,65,POINT (-121.72343333333332 40.6187)
66,40.61545,-121.72363333333334,LaTour,66,POINT (-121.72363333333334 40.61545)
67,40.61173333333333,-121.72343333333332,LaTour,67,POINT (-121.72343333333332 40.61173333333333)
68,40.60801666666666,-121.7236,LaTour,68,POINT (-121.7236 40.60801666666666)
69,40.6045,-121.72363333333334,LaTour,69,POINT (-121.72363333333334 40.6045)
70,40.60445,-121.71933333333334,LaTour,70,POINT (-121.71933333333334 40.60445)
71,40.60823333333333,-121.71911666666666,LaTour,71,POINT (-121.71911666666666 40.60823333333333)
