"TreeID","start_year","end_year","PlotID","n_obs","PFT"
"FFS6BURN_5669",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_5672",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_5676",1,10,"FFS6BURN",3,"deciduous_oak"
"FFS6BURN_5677",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_5686",1,2,"FFS6BURN",2,"fir"
"FFS6BURN_5689",1,16,"FFS6BURN",4,"yellow_pine"
"FFS6BURN_5692",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_5693",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_5696",11,16,"FFS6BURN",2,"fir"
"FFS6BURN_5697",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_8404",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS7CONTROL_1086",1,16,"FFS7CONTROL",4,"cedar"
"FFS7CONTROL_1087",1,13,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_1088",1,16,"FFS7CONTROL",4,"cedar"
"FFS7CONTROL_1089",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_1090",1,16,"FFS7CONTROL",4,"cedar"
"FFS7CONTROL_1091",1,16,"FFS7CONTROL",4,"cedar"
"FFS7CONTROL_1092",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_1093",1,16,"FFS7CONTROL",4,"cedar"
"FFS7CONTROL_1094",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_1096",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_1099",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_1100",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_1187",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_1189",1,16,"FFS7CONTROL",4,"white_pine"
"FFS7CONTROL_1190",1,2,"FFS7CONTROL",2,"white_pine"
"FFS7CONTROL_1191",1,2,"FFS7CONTROL",2,"white_pine"
"FFS7CONTROL_1192",6,16,"FFS7CONTROL",3,"cedar"
"FFS7CONTROL_1193",1,16,"FFS7CONTROL",4,"cedar"
"FFS7CONTROL_1198",1,16,"FFS7CONTROL",4,"cedar"
"FFS7CONTROL_4657",1,16,"FFS7CONTROL",4,"white_pine"
"FFS7CONTROL_4658",1,16,"FFS7CONTROL",4,"cedar"
"FFS7CONTROL_4661",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4662",1,16,"FFS7CONTROL",4,"cedar"
"FFS7CONTROL_4664",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4666",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4667",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4668",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4670",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4671",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4672",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4673",1,16,"FFS7CONTROL",4,"white_pine"
"FFS7CONTROL_4674",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4675",6,16,"FFS7CONTROL",3,"fir"
"FFS7CONTROL_4676",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4678",1,16,"FFS7CONTROL",4,"white_pine"
"FFS7CONTROL_4679",1,12,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4680",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4682",1,16,"FFS7CONTROL",4,"white_pine"
"FFS7CONTROL_4683",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4684",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4685",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4689",1,16,"FFS7CONTROL",4,"cedar"
"FFS7CONTROL_4690",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4691",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4693",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4697",1,16,"FFS7CONTROL",4,"fir"
"FFS7CONTROL_4698",1,16,"FFS7CONTROL",4,"white_pine"
"FFS7CONTROL_4700",1,16,"FFS7CONTROL",4,"cedar"
